Estado;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Total;ano;Populacao;PIB_%;%_Fumantes;IDHM;Gini;Leitos_SUS|10k;Taxa_Mortes_Isquemicas_Total_por_100k;Mortes_Isquemicas_Adultos_Idosos;Taxa_Mortes_Isquemicas_Adultos_Idosos_por_100k;Taxa_Mortes_Isquemicas_Infantil_por_100k
Rondônia;357;62;30;56;182;468;617;756;1043;1416;1589;1736;8344;2016;1787279;-4,2;13,8;0,741;0,505;18,8751532141847;466,8549230422335;6540;365,91936681402285;19,974497546270058
Acre;239;59;28;30;153;254;254;313;405;519;669;832;3763;2016;816687;-2,4;13,6;0,721;0,551;14,909704625355;460,7640381198672;2738;335,25695890837005;29,264577494193002
Amazonas;1225;253;121;140;535;1380;1282;1290;1936;2373;2750;3434;16799;2016;4001667;-6,8;10,6;0,724;0,593;12,4541254245662;419,80004832985856;11783;294,45228700938884;30,61224234800147
Roraima;210;55;17;26;67;185;157;191;242;330;297;375;2157;2016;519866;0,2;14,2;0,742;0,508;15,7234199103746;414,91461261171145;1435;276,03266995725824;40,395024871793886
Pará;2157;435;230;306;1259;3138;3044;3157;4182;5520;6602;8282;38557;2016;8272724;-4,0;12,1;0,668;0,578;13,1208055597084;466,0738107544746;27743;335,35507772288787;26,07363668847166
Amapá;284;50;36;30;154;258;243;277;370;380;430;483;2995;2016;782656;-4,7;14,5;0,742;0,586;12,5687609160505;382,6713140894595;1940;247,87390628833103;36,28669555973505
Tocantins;298;68;45;49;193;481;574;624;859;1037;1405;1837;7490;2016;1550194;-5,7;12,8;0,743;0,516;14,3493891274151;483,1653328551136;5762;371,695413606297;19,223400426011196
Maranhão;1656;284;189;243;833;2355;2565;2688;3617;5023;6449;8409;34362;2016;6954036;-5,1;10,4;0,673;0,54;17,718295598668;494,13031511484843;26186;376,5583036958681;23,81350916216137
Piauí;763;113;72;96;333;995;1188;1328;2026;2837;3746;5658;19187;2016;3217189;-6,4;9,2;0,68;0,546;20,2432382034369;596,3902027515325;15595;484,73993912076656;23,716356110878163
Ceará;1596;276;153;228;1250;2999;2994;3748;5505;7530;10322;17643;54276;2016;8963856;-5,8;9,1;0,704;0,55;15,7435323098327;605,4983480323647;44748;499,20480650291574;17,80483756097822
Rio Grande do Norte;581;107;55;86;551;1355;1210;1523;2242;2988;4081;7141;21922;2016;3474998;-4,0;9,5;0,699;0,526;17,5081065652149;630,8492839420339;17975;517,2664847576891;16,71943408312753
Paraíba;709;126;90;130;454;1122;1367;1954;2722;4137;5639;9586;28041;2016;3999415;-3,1;8,8;0,694;0,578;18,0223907116713;701,1275399027107;24038;601,0379017931373;17,727592660426588
Pernambuco;1821;303;168;251;1292;3411;3525;4887;7610;10546;13650;19269;66928;2016;9382376;-2,9;9,3;0,686;0,526;18,4761331751084;713,3374317976597;55962;596,4587221829524;19,408729729015338
Alagoas;689;130;71;111;629;1275;1289;1658;2415;3478;4057;4963;20769;2016;3350288;-1,4;9,6;0,674;0,534;15,0930275794066;619,91685490919;16571;494,6141943617982;20,565396168926373
Sergipe;495;73;40;79;390;960;935;1110;1562;1940;2424;3505;13516;2016;2265779;-4,8;10,2;0,692;0,52;10,7161013893384;596,5277284324729;10541;465,2263084793354;21,846790882959016
Bahia;3195;456;259;421;2282;5375;5606;6844;10210;13149;15803;24297;88094;2016;15276566;-4,5;8,6;0,693;0,542;15,7773418860928;576,6610113817464;70303;460,20159242594184;20,914386125782457
Minas Gerais;2912;507;297;465;1777;4763;6164;9823;16993;23192;27615;40663;135257;2016;21001077;-2,0;13,3;0,774;0,492;13,8069307813735;644,0479219232423;118286;563,2377806147751;13,865955541232482
Espírito Santo;624;133;63;93;441;1029;1207;1736;2889;3782;4401;6453;22868;2016;3973697;-5,6;14,2;0,771;0,503;14,0969836386058;575,4842404944313;19261;484,71234721721356;15,70326071665756
Rio de Janeiro;2990;466;220;379;2210;5065;5481;8661;17334;26289;29111;41795;141089;2016;16635996;-4,4;14,7;0,762;0,541;14,537977477191;848,0946977866549;123190;740,5027026936049;17,9730747711168
São Paulo;6667;1014;485;680;2585;7484;11641;19683;37863;54633;62503;90412;296359;2016;44757525;-3,1;14,5;0,806;0,499;12,5757632795398;662,143404935818;265094;592,289229576479;14,895819194649391
Paraná;1630;300;140;246;1070;2888;3281;5192;9197;13245;16678;20780;74740;2016;11242720;-2,6;15,2;0,769;0,469;17,0117406302182;664,7857457981698;65092;578,9702136137875;14,498270881067928
Santa Catarina;834;152;93;126;479;1343;1655;2859;5252;7251;8818;11400;40270;2016;6910840;-10,3;16,6;0,792;0,429;16,3761797961858;582,7077460916473;35580;514,8433475525406;12,067997522732403
Rio Grande do Sul;1439;227;123;216;949;2533;3236;5141;10471;15961;19685;27552;87583;2016;11286516;-2,4;15,6;0,771;0,477;19,2072737891521;775,9967734950271;78810;698,2668522332312;12,74972719659459
Mato Grosso do Sul;548;128;51;71;244;643;879;1312;2138;2899;3514;4296;16749;2016;2682909;-2,7;16,7;0,749;0,5;13,9622574060103;624,2850577488838;14159;527,7480525802404;20,425590282786334
Mato Grosso;740;179;69;92;378;1046;1266;1632;2317;2976;3253;3547;17535;2016;3305531;-4,6;15,4;0,747;0,519;15,2676955480905;530,4745289032231;13725;415,2131684742935;22,38672092320417
Goiás;1244;189;113;167;848;2240;2409;3201;4906;6457;7405;8767;38074;2016;6695855;-3,5;13,5;0,774;0,52;16,528573389651;568,6204375692126;30736;459,0302508044156;18,578657990652427
Distrito Federal;447;67;39;60;250;598;795;1062;1491;1864;2324;3030;12050;2016;2977216;0,0;11,8;0,814;0,535;14,3636502453328;404,7405361250242;9771;328,1925127367312;15,014026526795503
Rondônia;353;52;35;53;173;471;575;699;1066;1396;1489;1838;8219;2017;1802215;5,4;12,5;0,746;0,455;19,0082593894106;456,04991635293237;6488;360,0014426691599;19,587008209342393
Acre;223;49;23;43;158;315;282;294;407;522;652;858;3832;2017;829619;3,1;12,6;0,724;0,545;14,6962038568973;461,8987752209146;2733;329,42832794330894;26,87980868326304
Amazonas;1292;247;132;138;511;1440;1327;1276;1844;2607;2710;3708;17281;2017;4063614;2,6;10,1;0,729;0,591;12,1938809220485;425,26184819719583;12145;298,87189088333685;31,79435842085395
Roraima;210;41;22;32;77;190;204;187;308;379;367;437;2461;2017;522636;4,2;14,0;0,746;0,511;15,7086651367899;470,8822201302628;1678;321,06475635050015;40,18092898307809
Pará;2136;389;234;279;1209;3331;3059;2993;4259;5872;6879;9020;39980;2017;8366661;2,2;10,3;0,673;0,569;12,8509877867976;477,8489292203903;29023;346,88868115966454;25,529897769253466
Amapá;302;65;23;23;123;319;236;249;349;435;433;600;3158;2017;794576;4,2;13,4;0,745;0,589;11,9524345988032;397,4446748957935;2066;260,0128873764121;38,007692152795954
Tocantins;309;61;33;41;191;517;531;693;847;1204;1498;2108;8052;2017;1554459;1,5;11,2;0,747;0,507;14,3314794939344;517,9937200016212;6350;408,50225062224223;19,878298494846117
Maranhão;1787;308;197;245;834;2172;2510;2538;3553;5427;6729;8937;35275;2017;7000229;5,3;9,8;0,676;0,545;17,9067557621028;503,91208630460517;27184;388,3301531992739;25,527736306912246
Piauí;757;108;78;97;301;857;1107;1415;1988;2874;3961;6280;19850;2017;3264531;10,7;8,8;0,683;0,547;20,3297808514199;608,0505898090721;16518;505,9838610814233;23,188629545867386
Ceará;1688;267;153;253;1576;3712;3293;3860;5704;8150;11097;19483;59263;2017;9020457;1,6;8,2;0,707;0,555;15,3927226982914;656,9844521181133;48294;535,3830742721793;18,713020859142723
Rio Grande do Norte;569;103;47;77;594;1390;1218;1440;2253;2899;4075;6741;21409;2017;3507003;0,5;9,8;0,702;0,535;17,4425113893374;610,4642625056208;17408;496,3782466111378;16,224679591092453
Paraíba;764;109;77;101;429;1121;1326;1843;2665;4065;5293;9180;26975;2017;3999415;-0,2;9,1;0,697;0,583;17,9402768241137;674,4736417701089;23046;576,2342742626109;19,10279378359085
Pernambuco;1648;290;153;243;1427;3705;3680;4688;7029;10128;12983;18234;64364;2017;9421138;0,9;9,0;0,688;0,525;18,0094046473218;683,1871054218715;53062;563,222829343971;17,49257892199435
Alagoas;675;128;62;97;592;1251;1177;1675;2344;3449;4078;5145;20673;2017;3375823;1,2;8,8;0,677;0,525;14,8454094069737;612,3840023603134;16691;494,42758106689837;19,99512415194754
Sergipe;521;62;43;68;330;915;820;1099;1541;1978;2454;3489;13321;2017;2288752;-0,5;9,8;0,694;0,52;10,48466005631;582,0202450942697;10561;461,4305088537334;22,763497312072257
Bahia;3081;432;259;404;2262;5339;5455;6816;10269;13649;16903;25870;90915;2017;15344447;1,8;8,8;0,698;0,544;15,5952808074847;592,4944704752148;73507;479,0462634463138;20,07892496875254
Minas Gerais;2982;505;274;412;1673;4432;6074;9589;16721;23328;28474;43578;138118;2017;21119536;3,1;12,8;0,776;0,487;13,3630639625581;653,9821708204196;121690;576,1963709808776;14,119628385775142
Espírito Santo;596;110;68;102;486;1106;1247;1744;2900;4034;4440;7272;24112;2017;4018651;3,0;12,9;0,773;0,485;13,3979867396658;600,0023390933923;20390;507,38419434780474;14,830847465978012
Rio de Janeiro;2770;460;213;355;2143;5188;5462;8100;16687;25581;28453;40284;136709;2017;16718956;-4,4;12,7;0,764;0,543;14,0495748214792;817,6886164423184;119105;712,3949605465796;16,568020156282486
São Paulo;6680;985;499;652;2487;7183;11056;18848;35967;54514;63067;92152;294753;2017;45094866;0,7;13,4;0,807;0,5;12,0803203223441;653,6287301530067;264548;586,6477128460699;14,813216209579158
Paraná;1633;226;158;202;897;2613;3187;4771;8572;12789;15918;20575;71633;2017;11320892;5,8;13,7;0,771;0,461;16,9376726854412;632,7504935123487;62625;553,1807917609319;14,42465841030901
Santa Catarina;976;144;62;120;455;1398;1717;2629;5226;7282;8468;11431;39919;2017;7001161;4,4;13,9;0,795;0,428;15,8994021593809;570,1768606663952;35036;500,43128561105794;13,940545003892927
Rio Grande do Sul;1425;263;127;192;973;2620;3238;4884;9914;15900;19338;27312;86241;2017;11329679;1,8;13,8;0,773;0,469;18,8841331585964;761,1954407534406;77348;682,7024843334043;12,577584943050901
Mato Grosso do Sul;473;93;60;61;218;619;787;1163;2077;2815;3368;4202;15954;2017;2713147;3,3;14,2;0,753;0,496;13,4936037367224;588,0256395985916;13625;502,18436376650436;17,43362965589406
Mato Grosso;720;165;62;107;345;945;1205;1513;2363;3062;3433;3759;17709;2017;3344544;13,0;12,4;0,75;0,517;15,5552861787226;529,4892218490772;14130;422,4791182295703;21,5275983811246
Goiás;1159;179;125;160;815;2133;2338;3148;4870;6848;8121;9948;39973;2017;6778772;2,7;11,7;0,778;0,517;15,9167855519854;589,6790746170545;32935;485,85496016092594;17,09749199412519
Distrito Federal;494;77;37;52;232;473;665;1023;1570;2097;2331;3441;12514;2017;3039444;0,9;12,2;0,816;0,542;14,3875855479212;411,7200382701573;10462;344,20769061709973;16,252972583143496
Rondônia;357;45;29;37;144;381;491;683;1066;1432;1636;1848;8165;2018;1757589;5,4;10,8;0,748;0,514;18,893780058933;464,5568446320499;6665;379,21266007013014;20,311915925736905
Acre;273;49;24;40;125;297;278;348;471;620;668;895;4094;2018;869267;3,1;11,3;0,725;0,543;15,0136417931624;470,9715196826752;3002;345,3484372465537;31,405770609030366
Amazonas;1253;257;122;144;513;1316;1280;1403;1968;2575;3023;3822;17710;2018;4144597;2,6;8,7;0,73;0,593;12,1360502140488;427,30330596678033;12791;308,61866666409304;30,232131133618054
Roraima;266;54;26;35;114;276;222;222;322;403;371;472;2787;2018;576568;4,2;11,8;0,748;0,519;16,4218849005379;483,3775027403533;1790;310,457743058928;46,13506125903623
Pará;2134;359;227;266;1166;3289;3025;3234;4349;5984;7099;9101;40513;2018;8528051;2,2;8,5;0,675;0,578;12,594217550477;475,0557894177697;29767;349,0481002048416;25,023302510737796
Amapá;294;40;17;30;143;334;235;289;395;454;475;639;3345;2018;829494;4,2;11,2;0,746;0,586;12,1037644636369;403,2578897496546;2252;271,4908124712174;35,44329434570955
Tocantins;323;66;25;45;178;483;535;568;863;1166;1438;2085;7795;2018;1572866;1,5;9,9;0,748;0,512;14,8911617946082;495,5921229144759;6120;389,0986263292614;20,53576083404435
Maranhão;1649;329;169;228;680;1976;2315;2657;3615;5425;6732;8687;34525;2018;7035055;5,3;8,9;0,678;0,552;17,7001696030332;490,7566465365232;27116;385,4411941342321;23,43975988816008
Piauí;735;120;55;92;271;864;1105;1393;2075;2926;4010;6266;19983;2018;3273227;10,7;7,9;0,684;0,555;20,15598193573;610,4984469454762;16670;509,2833463734718;22,454904594151277
Ceará;1594;261;155;273;1347;3351;3258;3942;5690;7977;10836;18310;57028;2018;9075645;1,6;7,6;0,708;0,556;15,3495623350718;628,363052984113;46755;515,1699961820896;17,563489977847304
Rio Grande do Norte;564;98;56;77;520;1211;1128;1465;2316;3125;3966;6679;21209;2018;3534165;0,5;8,7;0,703;0,536;17,5296516346125;600,1134638592142;17551;496,60952445627186;15,958507879513265
Paraíba;703;116;64;83;426;1033;1238;1861;2841;3902;5546;8821;26644;2018;3978910;-0,2;7,1;0,698;0,575;17,1650365720371;669,6306274834062;22971;577,3189139739276;17,668155349078013
Pernambuco;1714;293;144;200;1103;2972;3283;4566;7253;10044;12585;17680;62011;2018;9557071;0,9;8,1;0,69;0,532;17,3850977906266;648,849422589829;52128;545,4390785628777;17,934365037154166
Alagoas;658;114;63;115;472;1066;1111;1475;2380;3296;3923;4738;19411;2018;3322822;1,2;8,0;0,679;0,529;14,3060138533262;584,172128389664;15812;475,8605787490272;19,8024450301581
Sergipe;576;71;48;60;279;798;831;1025;1541;2012;2341;3441;13024;2018;2288583;-1,8;8,9;0,695;0,52;10,3267424773121;569,0857618010795;10360;452,6818559781314;25,168412069826612
Bahia;3121;404;236;372;2040;5163;5291;6734;10189;13915;16942;25530;90134;2018;15429351;1,8;7,6;0,7;0,549;15,6052775819425;584,172334921929;73310;475,1333999725588;20,22768164390064
Minas Gerais;2889;477;267;409;1365;3837;5567;9131;16476;23865;28399;42866;135619;2018;21292666;3,1;10,9;0,778;0,495;13,0879120311582;636,9282268364141;120737;567,035616864511;13,568052023170795
Espírito Santo;600;103;72;100;392;905;1127;1637;2926;4069;4557;6988;23500;2018;4108508;3,0;10,8;0,774;0,505;13,0398054436441;571,9837955773726;20177;491,1028529091339;14,603841589209512
Rio de Janeiro;2794;452;215;299;2017;5222;5357;8366;16885;27160;29084;41959;140706;2018;17159960;-4,4;11,2;0,766;0,549;13,3882887838899;819,966946309898;123454;719,4305814232667;16,282089235639244
São Paulo;6530;1009;462;630;2348;7126;10864;18711;36395;55824;64558;93294;298313;2018;45538936;0,7;11,5;0,808;0,504;11,8162803218181;655,072397826774;268782;590,2245937410571;14,339377626214192
Paraná;1613;297;138;190;810;2499;3132;4892;8609;13406;16603;21565;73848;2018;11433957;5,8;13,0;0,773;0,47;16,9322025490141;645,865643888638;65075;569,1380508077825;14,107102204424942
Santa Catarina;950;123;70;104;399;1266;1591;2616;5251;7736;9060;12099;41268;2018;7164788;4,4;12,5;0,797;0,432;15,5105777773255;575,983546198436;36762;513,0926414012529;13,259289737533058
Rio Grande do Sul;1372;218;124;179;803;2278;2942;4674;9848;16624;20465;29018;88618;2018;11377239;1,8;12,4;0,775;0,48;18,4248847745942;778,9060245636045;80629;708,6868791277041;12,05916479384849
Mato Grosso do Sul;502;98;55;74;201;604;782;1226;2069;2987;3446;4547;16600;2018;2748023;3,3;11,6;0,755;0,496;12,9744789860444;604,0706355077814;14275;519,4643567393723;18,267678254512425
Mato Grosso;713;147;75;81;306;959;1155;1541;2399;3249;3664;3878;18205;2018;3441745;13,0;10,9;0,752;0,517;15,3384749206711;528,9467987895675;14731;428,00962883653494;20,71623551425222
Goiás;1234;212;100;156;756;1960;2311;3131;4748;6964;8148;9707;39507;2018;6921161;2,7;9,8;0,779;0,519;15,5243148308227;570,8146364461107;32698;472,43518825815494;17,829378625927067
Distrito Federal;453;57;34;44;184;486;697;1036;1461;2016;2344;3336;12157;2018;2978784;0,9;10,3;0,818;0,549;14,2225866350583;408,1195548250561;10193;342,1866103752404;15,207547777885203
